 18-Sep-2016       (1.000 *bam1o20_0p25mg_ - 1.001 *bam1o20_buffer_) /  1.0000
bam1o20_0p25  Conc = .10E+01  Mult = .10E+01  N1 =    1  N2 =  843  SCALE =  1
 fer_avg.dat  Conc = .10E+01  Mult = .10E+01  N1 =    1  N2 =  843  SCALE =  1
  0.161243E+00  0.438358E-03  0.705315E-03
  0.161974E+00  0.104194E-02  0.711150E-03
  0.162705E+00  0.130762E-02  0.708481E-03
  0.163436E+00  0.204702E-02  0.709904E-03
  0.164167E+00  0.143979E-02  0.707511E-03
  0.164898E+00  0.844689E-03  0.692879E-03
  0.165628E+00  0.725032E-03  0.696856E-03
  0.166359E+00  0.681180E-03  0.701105E-03
  0.167090E+00  0.197794E-03  0.695806E-03
  0.167821E+00  0.988512E-03  0.692391E-03
  0.168552E+00  0.174494E-02  0.680366E-03
  0.169283E+00  0.124624E-02  0.681754E-03
  0.170013E+00  0.134794E-02  0.688303E-03
  0.170744E+00  0.135271E-02  0.685000E-03
  0.171475E+00  0.123532E-02  0.678008E-03
  0.172206E+00  0.126761E-02  0.692684E-03
  0.172937E+00  0.187704E-02  0.684430E-03
  0.173667E+00  0.161842E-02  0.673652E-03
  0.174398E+00  0.105797E-02  0.669345E-03
  0.175129E+00  0.147033E-02  0.668745E-03
  0.175860E+00  0.873602E-03  0.671105E-03
  0.176590E+00  0.122363E-02  0.666426E-03
  0.177321E+00  0.142916E-02  0.673014E-03
  0.178052E+00  0.140630E-02  0.667907E-03
  0.178783E+00  0.698002E-03  0.665289E-03
  0.179513E+00  0.143607E-02  0.660474E-03
  0.180244E+00  0.817027E-03  0.657848E-03
  0.180975E+00  0.190432E-02  0.660035E-03
  0.181706E+00  0.262534E-03  0.663444E-03
  0.182436E+00  0.167709E-02  0.645095E-03
  0.183167E+00  0.828058E-03  0.650732E-03
  0.183898E+00  0.146993E-02  0.648852E-03
  0.184629E+00  0.158425E-02  0.644650E-03
  0.185359E+00  0.158319E-02  0.655946E-03
  0.186090E+00  0.112854E-02  0.647714E-03
  0.186821E+00  0.102158E-02  0.654652E-03
  0.187551E+00  0.980072E-03  0.650826E-03
  0.188282E+00  0.128108E-02  0.639396E-03
  0.189013E+00  0.135125E-02  0.632746E-03
  0.189743E+00  0.149421E-02  0.643549E-03
  0.190474E+00  0.685496E-03  0.649111E-03
  0.191205E+00  0.120462E-02  0.641086E-03
  0.191935E+00  0.159152E-02  0.636387E-03
  0.192666E+00  0.158603E-02  0.628564E-03
  0.193396E+00  0.135992E-02  0.627916E-03
  0.194127E+00  0.150326E-02  0.627975E-03
  0.194858E+00  0.110751E-02  0.626972E-03
  0.195588E+00  0.142971E-02  0.625539E-03
  0.196319E+00  0.124380E-02  0.625752E-03
  0.197049E+00  0.126242E-02  0.623010E-03
  0.197780E+00  0.101099E-02  0.620305E-03
  0.198511E+00  0.137201E-02  0.622422E-03
  0.199241E+00  0.116773E-02  0.614489E-03
  0.199972E+00  0.165723E-02  0.620089E-03
  0.200702E+00  0.103753E-02  0.619017E-03
  0.201433E+00  0.138275E-02  0.619956E-03
  0.202163E+00  0.115151E-02  0.626260E-03
  0.202894E+00  0.105895E-02  0.616304E-03
  0.203625E+00  0.139756E-02  0.611843E-03
  0.204355E+00  0.902552E-03  0.623557E-03
  0.205086E+00  0.144748E-02  0.624872E-03
  0.205816E+00  0.160579E-02  0.610224E-03
  0.206547E+00  0.995849E-03  0.616873E-03
  0.207277E+00  0.135730E-02  0.612640E-03
  0.208008E+00  0.152235E-02  0.615012E-03
  0.208738E+00  0.916466E-03  0.624756E-03
  0.209469E+00  0.685721E-03  0.637540E-03
  0.210199E+00  0.919175E-03  0.622051E-03
  0.210930E+00  0.113062E-02  0.626930E-03
  0.211660E+00  0.194622E-02  0.618274E-03
  0.212390E+00  0.774361E-03  0.615945E-03
  0.213121E+00  0.638165E-03  0.616053E-03
  0.213851E+00  0.151479E-02  0.621262E-03
  0.214582E+00  0.142498E-02  0.626213E-03
  0.215312E+00  0.871081E-03  0.623387E-03
  0.216043E+00  0.905191E-03  0.615703E-03
  0.216773E+00  0.103064E-02  0.635288E-03
  0.217503E+00  0.101062E-02  0.623604E-03
  0.218234E+00  0.661733E-03  0.634623E-03
  0.218964E+00  0.123063E-02  0.630427E-03
  0.219695E+00  0.135656E-02  0.629566E-03
  0.220425E+00  0.109452E-02  0.623962E-03
