 18-Sep-2016       (1.000 *bam1o20_2mg_avg - 1.012 *bam1o20_buffer_) /  1.0000
bam1o20_2mg_  Conc = .10E+01  Mult = .10E+01  N1 =    1  N2 =  843  SCALE =  1
 fer_avg.dat  Conc = .10E+01  Mult = .10E+01  N1 =    1  N2 =  843  SCALE =  1
  0.135660E+00  0.631582E-02  0.796497E-03
  0.136391E+00  0.625609E-02  0.788006E-03
  0.137122E+00  0.625383E-02  0.770271E-03
  0.137853E+00  0.726635E-02  0.797158E-03
  0.138584E+00  0.693550E-02  0.798118E-03
  0.139315E+00  0.670187E-02  0.775670E-03
  0.140046E+00  0.726949E-02  0.766587E-03
  0.140777E+00  0.657833E-02  0.795348E-03
  0.141508E+00  0.733718E-02  0.780021E-03
  0.142239E+00  0.726966E-02  0.783788E-03
  0.142970E+00  0.815655E-02  0.785922E-03
  0.143701E+00  0.717202E-02  0.753940E-03
  0.144432E+00  0.855856E-02  0.779064E-03
  0.145163E+00  0.784848E-02  0.770670E-03
  0.145894E+00  0.763221E-02  0.774161E-03
  0.146625E+00  0.913190E-02  0.772966E-03
  0.147356E+00  0.859673E-02  0.766501E-03
  0.148087E+00  0.859734E-02  0.766274E-03
  0.148818E+00  0.983573E-02  0.749176E-03
  0.149549E+00  0.827732E-02  0.751917E-03
  0.150280E+00  0.903137E-02  0.759884E-03
  0.151011E+00  0.947215E-02  0.754405E-03
  0.151741E+00  0.932153E-02  0.749786E-03
  0.152472E+00  0.925290E-02  0.742633E-03
  0.153203E+00  0.102803E-01  0.738970E-03
  0.153934E+00  0.105190E-01  0.753840E-03
  0.154665E+00  0.988371E-02  0.755268E-03
  0.155396E+00  0.104081E-01  0.744187E-03
  0.156127E+00  0.989212E-02  0.753211E-03
  0.156858E+00  0.106602E-01  0.741870E-03
  0.157589E+00  0.107942E-01  0.738136E-03
  0.158320E+00  0.110220E-01  0.735592E-03
  0.159051E+00  0.114522E-01  0.733657E-03
  0.159782E+00  0.105396E-01  0.747407E-03
  0.160512E+00  0.105474E-01  0.727313E-03
  0.161243E+00  0.106704E-01  0.726867E-03
  0.161974E+00  0.112875E-01  0.728372E-03
  0.162705E+00  0.113794E-01  0.731964E-03
  0.163436E+00  0.118639E-01  0.729240E-03
  0.164167E+00  0.127959E-01  0.730774E-03
  0.164898E+00  0.117000E-01  0.718302E-03
  0.165628E+00  0.111698E-01  0.713958E-03
  0.166359E+00  0.117805E-01  0.725383E-03
  0.167090E+00  0.111987E-01  0.720105E-03
  0.167821E+00  0.116876E-01  0.716492E-03
  0.168552E+00  0.123297E-01  0.700594E-03
  0.169283E+00  0.121605E-01  0.699562E-03
  0.170013E+00  0.115567E-01  0.707157E-03
