 18-Sep-2016       (1.000 *bam1o20_0p5mg_a - 1.003 *bam1o20_buffer_) /  1.0000
bam1o20_0p5m  Conc = .10E+01  Mult = .10E+01  N1 =    1  N2 =  843  SCALE =  1
 fer_avg.dat  Conc = .10E+01  Mult = .10E+01  N1 =    1  N2 =  843  SCALE =  1
  0.137853E+00  0.192389E-02  0.782295E-03
  0.138584E+00  0.150180E-02  0.783378E-03
  0.139315E+00  0.128554E-02  0.761984E-03
  0.140046E+00  0.196017E-02  0.753148E-03
  0.140777E+00  0.153541E-02  0.785273E-03
  0.141508E+00  0.207119E-02  0.763241E-03
  0.142239E+00  0.217869E-02  0.770245E-03
  0.142970E+00  0.181916E-02  0.765781E-03
  0.143701E+00  0.168988E-02  0.739564E-03
  0.144432E+00  0.230389E-02  0.763432E-03
  0.145163E+00  0.180922E-02  0.755221E-03
  0.145894E+00  0.859229E-03  0.758679E-03
  0.146625E+00  0.219362E-02  0.757663E-03
  0.147356E+00  0.169568E-02  0.752220E-03
  0.148087E+00  0.218561E-02  0.750902E-03
  0.148818E+00  0.251703E-02  0.734994E-03
  0.149549E+00  0.172925E-02  0.733384E-03
  0.150280E+00  0.205529E-02  0.746833E-03
  0.151011E+00  0.231969E-02  0.741374E-03
  0.151741E+00  0.212508E-02  0.736869E-03
  0.152472E+00  0.207042E-02  0.729732E-03
  0.153203E+00  0.229785E-02  0.725068E-03
  0.153934E+00  0.217199E-02  0.733481E-03
  0.154665E+00  0.271233E-02  0.739323E-03
  0.155396E+00  0.261860E-02  0.724907E-03
  0.156127E+00  0.262150E-02  0.734255E-03
  0.156858E+00  0.294760E-02  0.722803E-03
  0.157589E+00  0.313498E-02  0.721265E-03
  0.158320E+00  0.292745E-02  0.721968E-03
  0.159051E+00  0.307423E-02  0.718985E-03
  0.159782E+00  0.244399E-02  0.732742E-03
  0.160512E+00  0.194976E-02  0.712852E-03
  0.161243E+00  0.240437E-02  0.707022E-03
  0.161974E+00  0.295102E-02  0.714966E-03
  0.162705E+00  0.273927E-02  0.709122E-03
  0.163436E+00  0.348946E-02  0.710517E-03
  0.164167E+00  0.348218E-02  0.711303E-03
  0.164898E+00  0.269587E-02  0.700912E-03
  0.165628E+00  0.224799E-02  0.697474E-03
  0.166359E+00  0.284704E-02  0.708035E-03
  0.167090E+00  0.219728E-02  0.700656E-03
  0.167821E+00  0.284814E-02  0.695106E-03
  0.168552E+00  0.340191E-02  0.686303E-03
  0.169283E+00  0.261863E-02  0.677088E-03
  0.170013E+00  0.264432E-02  0.690999E-03
  0.170744E+00  0.351822E-02  0.689740E-03
  0.171475E+00  0.246885E-02  0.684838E-03
  0.172206E+00  0.324694E-02  0.694352E-03
  0.172937E+00  0.348133E-02  0.687083E-03
  0.173667E+00  0.397067E-02  0.681442E-03
  0.174398E+00  0.265051E-02  0.674082E-03
  0.175129E+00  0.288410E-02  0.674465E-03
  0.175860E+00  0.231781E-02  0.673788E-03
  0.176590E+00  0.351229E-02  0.669040E-03
  0.177321E+00  0.325899E-02  0.675654E-03
  0.178052E+00  0.298311E-02  0.670548E-03
  0.178783E+00  0.251201E-02  0.664888E-03
  0.179513E+00  0.276170E-02  0.661047E-03
  0.180244E+00  0.277848E-02  0.662430E-03
  0.180975E+00  0.329446E-02  0.666712E-03
  0.181706E+00  0.234470E-02  0.666076E-03
  0.182436E+00  0.286588E-02  0.645659E-03
  0.183167E+00  0.261247E-02  0.653320E-03
  0.183898E+00  0.309358E-02  0.652411E-03
  0.184629E+00  0.287105E-02  0.644177E-03
  0.185359E+00  0.352897E-02  0.659488E-03
  0.186090E+00  0.285451E-02  0.647279E-03
  0.186821E+00  0.262894E-02  0.660135E-03
  0.187551E+00  0.316432E-02  0.652397E-03
  0.188282E+00  0.315205E-02  0.639950E-03
  0.189013E+00  0.340514E-02  0.637312E-03
  0.189743E+00  0.285904E-02  0.648035E-03
